UBR Number,UBR Year,Species Name,Number of birds,Details,Date first seen,Location,UBR Status,First NZ record?,Reference,
2024/099,2024,Canada goose,1,Live,12/11/2024,Antipodes Island,Pending,No,,
2024/098,2024,Black shag,1,Live,14/10/2024,Antipodes Island,Pending,No,,
2024/097,2024,Blue-faced honeyeater,1,Live,11/11/2024,"Downing Street, Crofton Downs, Wellington",Pending,No,,
2024/096,2024,White-headed pigeon,1,Live,4/11/2024,"opposite Te Kao General Store, Far North",Pending,No,,
2024/095,2024,Common tern,1,Live,3/11/2024,"Old Wharf, Burke Street, Thames, Coromandel Penninsula",Pending,No,,
2024/094,2024,Long-tailed skua,1,Live,4/11/2024,Approximately 40 km offshore from Tutukaka,Pending,No,,
2024/093,2024,Fan-tailed cuckoo,1,Live,3/11/2024,"Foley Reserve, Main North Road, Belfast, Christchurch",Not accepted (identified as Eurasian blackbird),No,,
2024/092,2024,Terek sandpiper,1,Live,27/10/2024,Ashley/Rakahuri Estuary,Accepted,No,,
2024/091,2024,Crested tern,1,Live,24/10/2024,"Maukatia Bay, Muriwai, west coast Auckland, south side of Gannet colony",Accepted,No,,
2024/090,2024,Sharp-tailed sandpiper,1,Live,21/11/2009,"Manukapua, Kaipara Harbour",Not accepted,No,,
2024/089,2024,Australasian little grebe,1,Live,20/10/2024,"Pharazyn Reserve - Rutherford Dr, Waikanae.",Accepted,No,,
2024/088,2024,Stitchbird,1,Live,19/10/2024,Glenbrook,Not accepted,No,,
2024/087,2024,Long-tailed skua,1,Live,13/10/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Accepted,No,,
2024/086,2024,South Polar skua,1,Live,13/10/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Accepted,No,No,
2024/085,2024,Hoary-headed grebe,1,Live,30/06/2024,"Pinot Lake, Bankhouse Estate, Waihopai Valley, Marlborough",Accepted,No,,
2024/084,2024,Australasian little grebe,2,Live,30/06/2024,"Pinot Lake, Bankhouse Estate, Waihopai Valley, Marlborough",Accepted,No,,
2024/083,2024,Red-billed gull,1,Live,10/10/2024,Uretiti DOC Campsite,Identified as red-billed gull (oiled),No,,
2024/082,2024,Adelie penguin,1,Live,12/10/2024,Petone Beach,Accepted,No,,
2024/081,2024,Gull-billed tern,3,Live (Breeding),10/10/2024,"Bell Island shellbank, Waimea Inlet",Pending,No,,
2024/080,2024,Stilt sandpiper,1,Live,14/09/2024,"Te Wai Parera wetland, Waituna Lagoon Road, Southland",Accepted,No,,
2024/079,2024,Long-tailed skua,1,Dead,13/05/2020,Te Horo Beach,Accepted,No,,
2024/078,2024,Indian Ocean yellow-nosed mollymawk,1,Live,22/09/2024,"Approx 20km offshore from Tutukaka, near the Poor Knights Islands (on a pelagic seabird tour to ‘The Petrel Station’)",Accepted,No,,
2024/077,2024,Horsfield's bronze cuckoo,1,Dead,16/03/2024,Muriwai Beach,Accepted,Yes,A new bird for New Zealand Horsfield's-bronze-cuckoo,
2024/076,2024,Little whimbrel,2,Live,31/01/2015,Whatipu (North head of Manukau Harbour).,Accepted,No,,
2024/075,2024,Grey plover,1,Live,17/08/2024,"Kaipara Harbour, Big Sand Island (Tapora)",Accepted,No,,
2024/074,2024,Dusky woodswallow,1,Live,8/09/2024,"Oban, Stewart Island",Accepted,No,,
2024/073,2024,Greater sand plover,2,Live,20/11/2021,"Southland, Awarua Bay",Accepted,No,,
2024/072,2024,Northern pintail,1,Live,9/09/2023,"Southland, Invercargill, Tip Lagoon",Accepted,No,,
2024/071,2024,Northern shoveler x Australasian shoveler hybrid,1,Live,24/07/2022,"Canterbury, Pegasus Wetlands",Possible,No,,
2024/070,2024,Northern shoveler x Australasian shoveler hybrid,0,Live,9/09/2023,"Southland, Invercargill, Tip Lagoon",Possible,No,,
2024/069,2024,Chatham Island mollymawk,1,Live,10/08/2024,"Papanui Canyon, Otago",Accepted,No,,
2024/068,2024,Thin-billed prion,1,Live,11/08/2024,"Papanui Canyon, Otago",Accepted,No,,
2024/067,2024,Tree martin,1,Live,20/01/2022,Parlane Road pond. Huapai.,Possible,No,,
2024/066,2024,Antarctic tern,1,Live,27/02/2024,Lake Ellesmere Outlet,Possible,No,,
2024/065,2024,Australian Coot,1,Live,5/11/2023,"Eastern end of Teal Lake, Enderby Island",Accepted,No,,
2024/064,2024,Grey plover,2,Live,9/01/2021,"Puketutu canal, near Traffic Lights Bay, Auckland",Possible,No,,
2024/063,2024,Rifleman,2,Live,15/03/2024,"Track toward Karekare Beach, west Auckland",Not accepted,No,,
2024/062,2024,Kaka,1,Live,25/08/2024,"Sales Road, Oxford",Accepted,No,,
2024/061,2024,Hudsonian godwit,2,Live,26/01/2020,north of the gateway/bridge to Pararekau Estate,Possible,No,,
2024/060,2024,Barn owl,1,Live,20/08/2024,"Ponsonby Road, Ponsonby, Auckland 1011",Accepted,No,,
2024/059,2024,Common tern,1,Live,4/11/2023,"Hukatere, Ninety Mile Beach",Accepted,No,,
2024/058,2024,Chestnut-breasted shelduck,1,Live,2/12/2023,Waikato River 5 km south of Meremere,Accepted,No,,
2024/057,2024,Common tern,1,Live,4/04/2024,Ashley River mouth,Accepted,No,,
2024/056,2024,Arctic tern,1,Live,4/04/2024,Ashley River mouth,Accepted,No,,
2024/055,2024,Barn owl,1,Live,22/07/2024,"Home Bay, Bream Head Scenic Reserve",Accepted,No,,
2024/054,2024,Semipalmated plover,1,Live,22/06/2024,"North End, Big Sand Island, Kaipara Harbour",Accepted,No,,
2024/053,2024,King penguin,1,Live,12/07/2024,"Oreti Beach, Invercargill",Accepted,No,,
2024/052,2024,Thin-billed prion,2,Live,11/07/2024,"Papanui Canyon, Otago",Accepted,No,,
2024/051,2024,Blue petrel,1,Live,12/07/2024,"Papanui Canyon, Otago",Accepted,,,
2024/050,2024,Kermadec petrel,4,Dead,19/12/1858,110 km north-east of Poor Knights Islands,Accepted,,,
2024/049,2024,Whiskered tern,1,Live,14/03/2024,"Te Wai Parera wetland, Waituna Lagoon Road, Southland",Accepted,No,,
2024/048,2024,Chatham Island mollymawk,1,Live,22/06/2024,"Taiaroa Canyon, Otago",Accepted,No,,
2024/047,2024,Grey teal x Australasian shoveler hybrid,1,Live,15/06/2024,"Millennium Park, Powlnall Street, Solway, Masterton",Probable,No,,
2024/046,2024,North Island kokako,1,Live,11/06/2024,"Bledisloe Park, Palmerston North",Not accepted,No,,
2024/045,2024,Chestnut-breasted shelduck,1,Dead,15/05/2024,"Backwater Rd, Martinborough",Accepted,No,,
2024/044,2024,White ibis,1,Live,24/05/2024,"Browns Road, Manurewa",Possible,No,,
2024/043,2024,Yellow-eyed penguin,1,Live,23/04/2024,"Wairau Diversion Mouth, Blenheim",Accepted,No,,
2024/042,2024,Nankeen night heron,1,Live,16/05/2024,"Ohakune, Mangawhero River, near Goldfinch and Foyle Streets",Accepted,No,,
2024/041,2024,Long-tailed skua,1,Live,26/02/2024,"Te Haumi Rivermouth, Far North",Possible,No,,
2024/040,2024,Whiskered tern,1,Live,8/05/2024,"Stilt Pond, Miranda",Accepted,No,,
2024/039,2024,Northern shoveler,1,Live,26/04/2024,Lake Elterwater,Accepted,No,,
2024/038,2024,Marsh crake,1,Live,6/05/2024,"Golden Bay Track, Stewart Island",Accepted,No,,
2024/037,2024,Little black shag,2,Live,7/04/2024,"Boat Harbour, North East Island, The Snares",Accepted,No,,
2024/036,2024,Black shag,7,Live,6/04/2024,"Boat Harbour, North East Island, The Snares",Accepted,No,,
2024/035,2024,Kermadec petrel,1,Live,28/01/2024,"Approx 40 km offshore from Tutukaka, east of the Poor Knights (on a pelagic seabird trip out at ‘The Petrel Station’)",Accepted,No,,
2024/034,2024,South Polar skua,1,Live,1/12/2023,"Approx 40 km offshore from Tutukaka, east of the Poor Knights (on a pelagic seabird trip out at ‘The Petrel Station’)",Accepted,No,,
2024/033,2024,Wedge-tailed shearwater,1,Live,17/02/2024,"Approx 15km offshore from Tutukaka, on the way to the Poor Knights Islands (on a pelagic seabird trip out at ‘The Petrel Station’)",Accepted,No,,
2024/032,2024,Chatham Island mollymawk,1,Live,12/11/2023,"Approx 40 km offshore from Tutukaka, east of the Poor Knights Islands (on a pelagic seabird tour out at ‘The Petrel Station’)",Accepted,No,,
2024/031,2024,Black-bellied storm petrel,1,Live,22/04/2024,"at sea, approx 20 km east of the Poor Knights Islands, Northland",Accepted,No,,
2024/030,2024,Long-tailed skua,1,Live,19/04/2024,"Rothesay Bay, North Shore, Auckland",Not accepted,No,,
2024/029,2024,Yellow-billed spoonbill,2,Live,4/02/2024,Waioeka River,Possible,No,,
2024/028,2024,Eastern marsh harrier,1,Live,2/11/1996,Waipu,Possible,,,
2024/027,2024,Common tern,4,Live,21/01/2023,Kapiti Coast,Accepted,No,,
2024/026,2024,Frigatebird,1,Live,1/03/2024,"Mercury Cove, Mercury Island",Accepted,No,,
2024/025,2024,Arctic tern,1,Live,11/10/2023,Between Karaka Point and Dieffenbach Point in the Marlborough Sounds,Probable,No,,
2024/024,2024,Long-toed stint,1,Live,14/01/2024,"Te Wai Parera wetland, Waituna Lagoon Road, Southland",Accepted,No,,
2024/023,2024,Common tern,1,Live,8/01/2024,"Argyle Beach, Bluff",Accepted,No,,
2024/022,2024,Common tern,1,Live,16/02/2024,Plimmerton Fire Station rocks,Accepted,No,,
2024/021,2024,Juan Fernandez petrel,1,Live,3/02/2024,Pukerua Bay,Accepted,No,,
2024/020,2024,Arctic tern,1,Live,9/02/2024,"Walker Island, Far North",Accepted,No,,
2024/019,2024,Nankeen kestrel,1,Live,4/02/2024,"Lindis Valley, near Tinburn Road",Possible,No,,
2024/018,2024,Common tern,1,Live,10/02/2024,"Bollards, Manawatu Estuary, at the end of Pinewood Road",Accepted,No,,
2024/017,2024,Terek sandpiper,1,Live,12/02/2024,Motueka sandspit,Accepted,No,,
2024/016,2024,Common tern,1,Dead,9/02/2024,"Kaika Beach, 1.5 km south of Moeraki Point",Not accepted,No,,
2024/015,2024,Eastern rockhopper penguin,1,Live,1/02/2024,"Conway Flat, south of Kaikoura",Accepted,No,,
2024/014,2024,Australasian little grebe,2,Live,27/01/2024,"Bankhouse Estate, Waihopai Valley",Accepted,No,,
2024/013,2024,Chestnut teal,1,Live,19/01/2024,"Playhouse Ponds, Tasman",Not Accepted,No,,
2024/012,2024,Sooty tern,1,Live,14/12/2023,"off Walker Island, Far North",Accepted,No,,
2024/011,2024,Indian Ocean yellow-nosed mollymawk,1,Live,16/01/2024,"offshore, Cape Foulwind",Accepted,No,,
2024/010,2024,Australasian little grebe,3,Live,12/01/2024,"Lake Murray, Tekapo",Accepted,No,,
2024/009,2024,Adelie penguin,1,Live,15/01/2024,"St Clair Beach, Dunedin",Accepted,No,,
2024/008,2024,Common tern,1,Live,14/01/2024,Waikanae River mouth,Accepted,No,,
2024/007,2024,Adelie penguin,1,Live,4/01/2024,"Monkey Island, Southland",Accepted,No,,
2024/006,2024,Common tern,1,Live,13/01/2024,Ashley River Estuary,Accepted,No,,
2024/005,2024,Pacific heron,1,Live,8/01/2024,"White Heron- Kōtuku nesting site, Waitangiroto Nature Reserve, Whataroa",Accepted,No,,
2024/004,2024,Common tern,1,Live,10/01/2024,Foxton Beach,Accepted,No,,
2024/003,2024,Tree martin,2,Live,6/01/2024,"Ernest Tributary, Old Ghost Road, Lyell Valley, Buller",Possible,No,,
2024/002,2024,Plumed whistling duck,1,Live,2/01/2024,Rakahuri Ashley River ,Probable,No,,
2024/001,2024,Black shag,1,Live,4/12/2023,"Perseverance Harbour, Campbell Island ",Suspense,No,,
2023/135,2023,Erect-crested penguin,1,Live,19/12/2023,"at sea, between Chatham Islands and Bluff",Accepted,No,,
2023/134,2023,Greater sand plover,1,Live,8/01/2023,"Jarvis Road, Lake Ellesmere",Accepted,No,,
2023/133,2023,Yellow-eyed penguin,1,Live,27/11/2023,Kaikoura Jetty,Accepted,No,,
2023/132,2023,Tree martin,1,Live,24/10/2022,"Aniseed Valley, Tasman",Accepted,No,,
2023/131,2023,Kermadec petrel,1,Live,15/03/2023,"SE of Rangatira Island, Chatham Islands",Accepted,No,,
2023/130,2023,Sooty tern,1,Live,30/11/2023,"Walker Island, Rangiputa",Accepted,No,,
2023/129,2023,Black shag,6,Live,27/11/2023,Snares Island,Accepted,No,,
2023/128,2023,White-faced heron,1,Live,28/11/2023,Enderby Island,Probable,No,,
2023/127,2023,Great knot,1,Live,3/10/2023,"Big Sand Island, Kaipara Harbour, Auckland",Accepted,No,,
2023/126,2023,Australasian little grebe,1,Live,25/11/2023,"Styx Mill Reserve, Christchurch",Accepted,No,,
2023/125,2023,Arctic tern,5,Live,15/04/2023,30-50km west of Mason Bay,Suspense,No,,
2023/124,2023,Antarctic tern,1,Live,7/12/2023,Aramoana Mole,Accepted,No,,
2023/123,2023,Gould's petrel,2,Live,16/11/2023,290km E of North Cape,Accepted,No,,
2023/122,2023,Gould's petrel,7,Live,9/11/2023,290-350km NW of Raoul,Accepted,No,,
2023/121,2023,Gould's petrel,9,Live,8/11/2023,570-650km NE of North Cape,Accepted,No,,
2023/120,2023,Gull-billed tern,1,Live,22/11/2023,"Beach at the Pouto Point Lighthouse, Pouto Peninsular, Kaipara District, Northland",Accepted,No,,
2023/119,2023,Gull-billed tern,6,Live,16/11/2023,"Sand Spit, Waiuku, Manukau Harbour",Accepted,No,,
2023/118,2023,Whenau Hou diving petrel,1,Live,11/11/2023,"off Rabbit Island, Mapua",Not Accepted,No,,
2023/117,2023,Leach's storm petrel,1,Live,23/03/2023,Taiaroa Head,Accepted,No,,
2023/116,2023,Chatham Island mollymawk,2,Live,3/11/2023,"Approximately 40km offshore from Tutukaka, east of the Poor Knights Islands (on a pelagic seabird tour out at ‘The Petrel Station’)",Accepted,No,,
2023/115,2023,Chatham Island mollymawk,1,Live,1/11/2023,"Approximately 40km offshore from Tutukaka, east of the Poor Knights Islands (on a pelagic seabird tour out at ‘The Petrel Station’)",Accepted,No,,
2023/114,2023,Wandering tattler,1,Live,3/11/2023,"Proctor's Beach, Whangarei Heads",Accepted,No,,
2023/113,2023,Wandering tattler,1,Live,11/10/2023,"Tapotupotu Beach in Northland, near Cape Reinga",Accepted,No,,
2023/112,2023,Streaked shearwater,1,Live,1/11/2023,"The Petrel Station, east of the Poor Knights Islands",Accepted,No,,
2023/111,2023,Terek sandpiper,1,Live,25/10/2023,"Clark's Road, near Lake Ellesmere (Te Waihora)",Accepted,No,,
2023/110,2023,Nankeen night heron,1,Live,26/10/2023,"Orokonui Road, Waitati",Accepted,No,,
2023/109,2023,Fairy martin,1,Live,15/10/2023,"Waikoropupū (Sealers Bay), Whenua Hou",Accepted,No,,
2023/108,2023,Black petrel,1,Live,8/10/2023,15km ESE of Taiaroa Head,Probable,No,,
2023/107,2023,Hudsonian godwit,1,Live,3/10/2023,Manawatu River Estuary at the Dawick Street Viewing Platform,Accepted,No,,
2023/106,2023,Barn owl,1,Live,1/09/2023,Purerua,Accepted,No,,
2023/105,2023,Gull-billed tern,1,Live,27/08/2023,"Piako wader roost, off Shelly Beach Road, Thames",Accepted,No,,
2023/104,2023,Gull-billed tern,1,Live,15/06/2023,"Robert Findlay Wildlife Reserve, Pūkorokoro Miranda",Accepted,No,,
2023/103,2023,Greater sand plover,1,Live,6/05/2023,Kaitorete Spit,Accepted,No,,
2023/102,2023,Fiordland crested penguin,1,Live,14/08/2023,Sumner Lifeboat Institute Inc,Accepted,No,,
2023/101,2023,Fork-tailed swift,3,Live,19/08/2023,"Opihi River near Pleasant Point, at the Opuha Water Ltd irrigation water abstraction point at the end of Butlers Road.",Accepted,No,,
2023/100,2023,Grey-backed storm petrel,1,Live,26/07/2023,"at sea, off Sinclair Head seal colony, Owhiro Bay, Wellington",Accepted,No,,
2023/099,2023,Common tern,1,Live,17/04/2023,"Table Cape, Mahia Peninsula",Accepted,No,,
2023/098,2023,unidentified bird,1,Live,13/08/2023,"Maronan Road, Ashburton",Species confirmed as grey warbler,No,,
2023/097,2023,New Zealand dabchick,2,Live,27/06/2023,"Lake Forsyth/Wairewa, Banks Peninsula",Accepted,No,,
2023/096,2023,Grey-backed storm petrel,4,Live,6/08/2023,"Offshore from Tutukaka, approx 40km east of the Poor Knights Islands",Accepted,No,,
2023/095,2023,Wandering tattler,2,Live,17/08/1988,Kaikoura Peninsula,Accepted,No,,
2023/094,2023,Masked booby,1,Live,19/02/2023,"Pahi, Kaipara Harbour",Probable,No,,
2023/093,2023,Common tern,1,Live,27/05/2023,Firth of Thames,Accepted,No,,
2023/092,2023,Australasian little grebe,1,Live,28/06/2023,"Barrytown Lagoon, West Coast",Accepted,No,,
2023/091,2023,Australasian little grebe,1,Live,12/07/2023,Franz Josef,Accepted,No,,
2023/090,2023,Little tern,6,Live,13/05/2022,"New River Estuary Shellbanks, Invercargill",Accepted,No,,
2023/089,2023,White-throated needletail,1,Dead,7/01/1912,"Mount Eden, Auckland",Accepted,No,,
2023/088,2023,Bulwer's petrel,1,Dead,22/01/2014,"New Brighton Beach, Christchurch",Accepted,No,,
2023/087,2023,Eurasian whimbrel,1,Live,7/02/2023,"Rangatira Island, Chatham Islands",Possible,No,,
2023/086,2023,Pomarine skua,1,Live,3/02/2023,"Chatham Islands, south of Pitt Island (on the way from Mangere to Rangatira)",Accepted,No,,
2023/085,2023,Northern shoveler,1,Live,30/03/2023,Pegasus Wetlands,Accepted,No,,
2023/084,2023,Australian pelican,1,Dead,01/06/1889,"Jerusalem, Whanganui River",Accepted,No,,
2023/083,2023,Antarctic prion,4,Live,25/05/2023,Approx 40 km east of the Poor Knights Islands,Accepted,No,,
2023/082,2023,Soft-plumaged petrel,1,Live,25/05/2023,Approx 40 km east of the Poor Knights Islands,Accepted,No,,
2023/081,2023,Soft-plumaged petrel,1,Live,19/06/2023,Approx 40 km east of the Poor Knights Islands,Accepted,No,,
2023/080,2023,Salvin's prion,1,Live,9/06/2023,"South Traps Reef, south of Stewart Island",Possible,No,,
2023/079,2023,Chestnut teal,1,Live,21/06/2023,"Ashburton River mouth, Mid Canterbury",Accepted,No,,
2023/078,2023,New Zealand dabchick,1,Live,18/06/2023,"Westerfield Lismore Road, Ashburton",Accepted,No,,
2023/077,2023,Kerguelen petrel,15,Live,26/06/2021,Off Cape Palliser,Probable,No,,
2023/076,2023,Arctic tern,1,Live,26/12/2018,"Waipapa Point, Southland",Accepted,No,,
2023/075,2023,Arctic tern,1,Live,18/12/2021,"Stirling Point, Bluff",Accepted,No,,
2023/074,2023,Lesser frigatebird,1,Dead,15/04/1891,Cape Farewell lighthouse,Accepted,Yes,,
2023/073,2023,Little tern,1,Live,12/04/2023,"Te Waewae Lagoon, Western Southland",Accepted,No,,
2023/072,2023,New Zealand dabchick,2,Live,1/05/2023,"St Anne's Lagoon, Cheviot",Accepted,No,,
2023/071,2023,Kerguelen petrel,1,Live,12/02/2009,Abel Tasman Coastal Track,Not accepted,No,,
2023/070,2023,Gull-billed tern,1,Live,1/06/2023,Whanganui River mouth,Accepted,No,,
2023/069,2023,Black-faced cuckoo-shrike,1,Dead,01/01/1864,"Motueka, Nelson",Accepted,No,,
2023/068,2023,Australian white-eyed duck,1,Dead,1/06/1908,"Lake Waikere, Waikato",Accepted,No,,
2023/067,2023,Kookaburra,1,Live,28/05/2023,"Waipara, North Canterbury",Not accepted,No,,
2023/066,2023,New Zealand dabchick,1,Live,22/05/2023,"Caton’s Bay, Lake Forsyth/Wairewa",Accepted,No,,
2023/065,2023,Rainbow bee-eater,2,Live,16/05/2023,"Cockle Bay, Auckland",Not accepted,No,,
2023/064,2023,Australian coot,4,Live,25/03/2023,"North East Island, Snares Islands",Accepted,No,,
2023/063,2023,Grey teal,1,Live,7/04/2023,"North East Island, Snares Islands",Accepted,No,,
2023/062,2023,Plumed whistling duck,3,Live,25/03/2023,"North East Island, Snares Islands",Accepted,No,,
2023/061,2023,Spotted dove,1,Live,6/05/2023,"Junction of Telegraphs Road & SH1, Norwood, Mid-Canterbury",Accepted,No,,
2023/060,2023,Gull-billed tern,1,Live,29/04/2023,"Kaikokopu Stream, Himatangi Beach, Manawatu",Accepted,No,,
2023/059,2023,Australasian little grebe,1,Live,26/04/2023,"Barrytown, West Coast",Accepted,No,,
2023/058,2023,Australian white-eyed duck,1,Live,24/04/2023,"Wakapuaka settling ponds, Nelson",Accepted,No,,
2023/057,2023,Snares crested penguin,1,Live,28/04/2023,"Ocean Beach, Little Glory, Stewart Island",Accepted,No,,
2023/056,2023,Erect-crested penguin,1,Live,13/02/2023,"Toetoes Bay, Waituna, Southland",Accepted,No,,
2023/055,2023,New Zealand dabchick,1,Live,16/04/2023,"Pegasus Wetlands, North Canterbury",Accepted,No,,
2023/054,2023,Little whimbrel,1,Live,11/02/2023,"New River estuary, Invercargill",Accepted,No,,
2023/053,2023,Arctic tern,1,Live,19/02/2023,"Kaiaua Spit, Miranda",Accepted,No,,
2023/052,2023,Pectoral sandpiper,3,Live,12/03/2023,"Te Whanga Lagoon, Chatham Island",Accepted,No,,
2023/051,2023,White tern,1,Live,11/12/2022,"At sea, west of New Zealand",Accepted,No,,
2023/050,2023,Little tern,1,Live,2/04/2023,Kaitorete Spit tip,Accepted,No,,
2023/049,2023,Great frigatebird,1,Live,30/01/2023,"Collingwood-Puponga Main Road, Tasman",Accepted,No,,
2023/048,2023,Stitchbird,2,Live,4/04/2023,"Lake Moeraki, Westland",Not accepted,No,,
2023/047,2023,Australasian little grebe,1,Live,27/03/2023,"Nelson water treatment wetlands, Wakapuaka, Nelson",Accepted,No,,
2023/046,2023,Australasian little grebe,1,Live,6/04/2023,"Pharazyn Reserve, Waikanae",Accepted,No,,
2023/045,2023,Black-tailed godwit,1,Live,6/02/2023,Pūkorokoro Miranda,Accepted,No,,
2023/044,2023,Yellow-eyed penguin,1,Live,6/03/2023,"Point Kean seal colony, Kaikoura",Accepted,No,,
2023/043,2023,Sanderling,1,Live,18/02/2023,Ashley River estuary,Accepted,No,,
2023/042,2023,Tree martin,1,Live,5/02/2023,"Enderby Island, Auckland Islands",Accepted,No,,
2023/041,2023,Little tern,2,Live,29/03/2023,Kaitorete Spit tip,Accepted,No,,
2023/040,2023,Spotted dove,,Live,26/03/2023,"Charing Cross area, mid Canterbury",Accepted,No,,
2023/039,2023,Little tern,1,Live,18/12/2019,Ashburton River mouth lagoon,Accepted,No,,
2023/038,2023,Little tern,1,Live,18/12/2021,Ashburton River mouth lagoon,Accepted,No,,
2023/037,2023,Little tern,1,Live,2/04/2019,"Harbour Road, Brooklands Lagoon spit tip, Christchurch",Accepted,No,,
2023/036,2023,Little tern,1,Live,20/01/2020,"Kaitorete Spit tip, Lake Ellesmere",Accepted,No,,
2023/035,2023,Great shearwater,1,Live,23/03/2023,"At sea, 1 km east of Taiaroa Head",Accepted,No,,
2023/034,2023,Emu,20,Live,1/08/2019,"Chatham Islands, Rekohu (Chatham Island), area bounded by 'Big Bush' Rapanui - Te Matarae Roads and Lake Huro",Suspense,No,,
2023/033,2023,Erect-crested penguin,1,Live,23/02/2023,"South Bay, Kaikoura",Accepted,No,,
